Bear,Sex,Age,Date,General Location,Capture type,Release Site,Handler,Year
942,Female,Adult,08/07/2022,"East Dry Crk, CTNF",Research,On site,IDFG,2022
1080,Male,Adult,08/10/2022,"Tepee Crk, CGNF",Research,On site,IGBST,2022
856,Male,Adult,08/14/2022,"Rock Crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,08/16/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,08/20/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1081,Female,Subadult,08/18/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
Unm202211,Unk,Yearling,08/18/2022,"Bear Crk, CTNF",Research,On site,IDFG,2022
1083,Male,Subadult,08/20/2022,"Enget Crk, CTNF",Research,On site,IDFG,2022
Unm202212,Female,Subadult,08/20/2022,"Tom Miner, ST-MT",Management,Removed (202229),WS/MTFWP,2022
1045,Male,Adult,08/21/2022,"Rock Crk, CTNF",Research,On site,IDFG,2022
1084,Female,Adult,08/24/2022,"Tepee Crk, CGNF",Research,On site,IGBST,2022
1085,Male,Adult,08/26/2022,"Stephens Crk, YNP",Research,On site,IGBST,2022
699,Male,Adult,08/30/2022,"Meadow Crk, Pr-WY",Management,Removed (202230),WYGFD,2022
769,Male,Adult,08/31/2022,"Stephens Crk, YNP",Research,On site,IGBST,2022
1086,Female,Adult,09/02/2022,"Tepee Crk, BTNF",Management,On site,WYGFD,2022
1087,Male,Adult,09/04/2022,"Bridge Crk, YNP",Research,On site,IGBST,2022
1087,Male,Adult,09/05/2022,"Arnica Crk, YNP",Research,On site,IGBST,2022
514,Male,Adult,09/10/2022,"Pacific Crk, BTNF",Management,Removed (202232),WYGFD,2022
630,Male,Adult,09/15/2022,"Cascade Crk, YNP",Research,On site,IGBST,2022
630,Male,Adult,09/17/2022,"Antelope Crk, YNP",Research,On site,IGBST,2022
812,Male,Adult,09/17/2022,"Antelope Crk, YNP",Research,On site,IGBST,2022
520,Male,Adult,09/19/2022,"Cascade Crk, YNP",Research,On site,IGBST,2022
1088,Male,Adult,09/19/2022,"Sharp Crk, Pr-MT",Management,Transported,MTFWP,2022
800,Female,Adult,09/20/2022,"Yellowstone River, Pr-MT",Management,Removed (202233),MTFWP,2022
Unm202213,Female,Cub,09/21/2022,"Yellowstone River, Pr-MT",Management,Removed (202234),MTFWP,2022
G190,Female,Adult,09/27/2022,"Greybull River, Pr-WY",Management,Removed (202236),WYGFD,2022
Unm202214,Male,Cub,09/27/2022,"Greybull River, Pr-WY",Management,Removed (202237),WYGFD,2022
Unm202215,Male,Cub,09/27/2022,"Greybull River, Pr-WY",Management,Removed (202238),WYGFD,2022
Unm202216,Male,Adult,10/05/2022,"South Fork Shoshone, Pr-WY",Management,Removed (202239),WYGFD,2022
804,Male,Adult,10/06/2022,"Antelope Crk, YNP",Research,On site,IGBST,2022
Unm202217,Male,Adult,10/08/2022,"Greybull River, Pr-WY",Management,Removed (202240),WYGFD,2022
314,Male,Adult,10/12/2022,"Henrys Fork, CTNF",Research,On site,IDFG,2022
1089,Female,Adult,10/17/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
1089,Female,Adult,11/09/2022,"Middle Leigh Crk, Pr-ID",Management,Removed (202242),IDFG,2022
G279,Male,Subadult,10/17/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
6279,Male,Subadult,11/09/2022,"Middle Leigh Crk, Pr-ID",Management,Removed (202244),IDFG,2022
Unm202218,Male,Subadult,10/17/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
Unm202218,Male,Subadult,11/10/2022,"Middle Leigh Crk, Pr-ID",Management,Removed (202245),IDFG,2022
416,Female,Adult,10/20/2022,"Gallatin River, Pr-MT",Management,Removed (202241),MTFWP,2022
1090,Male,Cub,10/20/2022,"Gallatin River, Pr-MT",Management,Transported,MTFWP,2022
1091,Male,Cub,10/20/2022,"Gallatin River, Pr-MT",Management,Transported,MTFWP,2022
845,Male,Adult,12/05/2022,"Greybull River, Pr-WY",Management,Removed (202247),WYGFD,2022
202101,Female,Yearling,04/06/2021,"South Fork Shoshone River, Pr WY",Management,Removed (202101),WYGFD,2021
1020,Male,Adult,04/11/2021,"Rawhide Crk, Pr-WY",Management,Transported,WYGFD,2021
449,Male,Adult,04/17/2021,"Madison River, CGNF",Management,Removed (202104),MTFWP,2021
1021,Male,Adult,04/26/2021,"Rawhide Crk, Pr-WY",Management,Transported,WYGFD,2021
202106,Female,Subadult,05/05/2021,"Gooseberry Crk, Pr-WY",Management,Removed (202106),WYGFD,2021
202107,Male,Subadult,05/05/2021,"Gooseberry Crk, Pr-WY",Management,Removed (202107),WYGFD,2021
1022,Male,Subadult,05/07/2021,"Snake River, Pr-WY",Management,Transported,WYGFD,2021
1022,Male,Subadult,05/22/2021,"Snake River, Pr-WY",Management,Removed (202112),WYGFD,2021
202108,Male,Adult,05/11/2021,"Carbon County, Pr-MT",Management,Removed (202108),WS/MTFWP,2021
639,Male,Adult,05/12/2021,"Grace Crk, SNF",Research,On site,WYGFD,2021
Unm202105,Unk,Yearling,05/13/2021,"Rock Crk, ST-MT",Management,On site,WS/MTFWP,2021
1023,Male,Subadult,05/14/2021,"Cougar Crk, SNF",Research,On site,WYGFD,2021
885,Male,Adult,05/31/2021,"Belknap Crk, Pr-WY",Research,On site,WYGFD,2021
1024,Male,Subadult,06/04/2021,"Antelope Crk, YNP",Research,On site,IGBST/YNP,2021
1024,Male,Subadult,06/06/2021,"Antelope Crk, YNP",Research,On site,IGBST/YNP,2021
1024,Male,Subadult,06/26/2021,"Cascade Crk, YNP",Research,On site,IGBST/YNP,2021
1025,Female,Adult,06/05/2021,"Timber Crk, BLM-WY",Research,On site,WYGFD,2021
202115,Male,Subadult,06/05/2021,"Grinnell Crk, SNF",Management,Removed (202115),WYGFD,2021
887,Male,Adult,06/06/2021,"Stephens Crk, YNP",Research,On site,IGBST/YNP,2021
1026,Male,Adult,06/08/2021,"Rock Crk, SNF",Research,On site,WYGFD,2021
1027,Female,Adult,06/09/2021,"Belknap Crk, Pr-WY",Research,On site,WYGFD,2021
749,Female,Adult,06/13/2021,"Stephens Crk, YNP",Research,On site,IGBST/YNP,2021
Unm202107,Unk,Subadult,06/13/2021,"Gibbon River, YNP",Research,On site,IGBST/YNP,2021
1028,Male,Subadult,06/14/2021,"Snake River, JDR",Management,Transported,GTNP,2021
1028,Male,Subadult,09/21/2021,"Snake River, Pr-WY",Management,Removed (202146),WYGFD,2021
1029,Male,Subadult,06/15/2021,"North Fork Shoshone, SNF",Management,Transported,WYGFD,2021
981,Female,Subadult,06/16/2021,"Gibbon River, YNP",Research,On site,IGBST/YNP,2021
Unm202108,Male,Adult,06/16/2021,"Antelope Crk, YNP",Research,On site,IGBST/YNP,2021
1030,Male,Subadult,06/21/2021,"North Fork Shoshone, SNF",Management,Transported,WYGFD,2021
1031,Female,Adult,06/27/2021,"Jack Crk, SNF",Research,On site,WYGFD,2021
967,Male,Adult,06/27/2021,"Haymaker Crk, SNF",Research,On site,WYGFD,2021
1032,Female,Subadult,06/27/2021,"Betty Crk, SNF",Research,On site,WYGFD,2021
980,Female,Adult,06/28/2021,"Gibbon River, YNP",Research,On site,IGBST,2021
476,Female,Adult,06/28/2021,"Boulder Crk, SNF",Research,On site,WYGFD,2021
635,Male,Adult,06/28/2021,"Robinson Crk, SNF",Research,On site,WYGFD,2021
1033,Male,Subadult,06/28/2021,"Gentian Crk, SNF",Research,On site,WYGFD,2021
1034,Female,Adult,06/29/2021,"Greybull River, SNF",Research,On site,WYGFD,2021
1035,Female,Adult,06/29/2021,"Francs Fork, SNF",Research,On site,WYGFD,2021
1036,Male,Adult,06/29/2021,"Anderson Crk, SNF",Research,On site,WYGFD,2021
538,Male,Adult,06/29/2021,"Dundee Crk, SNF",Research,On site,WYGFD,2021
881,Male,Adult,06/30/2021,"Cascade Crk, YNP",Research,On site,IGBST,2021
970,Male,Adult,06/30/2021,"Cascade Crk, YNP",Research,On site,IGBST,2021
1037,Male,Adult,07/02/2021,"Henrys Fork, CTNF",Research,On site,IDFG,2021
800,Female,Adult,07/07/2021,"Slip and Slide Crk, CGNF",Research,On site,IGBST,2021
556,Male,Adult,07/07/2021,"Henrys Fork, CTNF",Research,On site,IDFG,2021
1038,Female,Subadult,07/10/2021,"Cream Crk, CGNF",Research,On site,IGBST,2021
1038,Female,Subadult,08/24/2021,"Jesse Crk, CTNF",Research,On site,IDFG,2021
202119,Male,Adult,07/10/2021,"Blaine Crk, Pr-WY",Management,Removed (202119),WYGFD,2021
906,Female,Adult,07/10/2021,"Jessie Crk, CTNF",Research,On site,IDFG,2021
1039,Male,Subadult,07/12/2021,"Tosi Crk, BTNF",Management,Transported,WYGFD,2021
1040,Male,Subadult,07/13/2021,"Gypsum Crk, BTNF",Management,Transported,WYGFD,2021
1041,Female,Subadult,07/18/2021,"Tosi Crk, BTNF",Management,Transported,WYGFD,2021
1041,Female,Subadult,08/25/2021,"Tepee Crk, BTNF",Management,Transported,WYGFD,2021
902,Male,Adult,07/21/2021,"Cottonwood Crk, BDNF",Management,Removed (202122),WS/MTFWP,2021
886,Female,Adult,07/21/2021,"Sulfur Crk, Pr-WY",Management,Transported,WYGFD,2021
G272,Female,Subadult,07/21/2021,"Sulfur Crk, Pr-WY",Management,Transported,WYGFD,2021
1042,Female,Adult,07/22/2021,"Duck Crk, BLM-ID",Management,On site,WS/IDFG,2021
1043,Female,Subadult,07/23/2021,"South Fork Fish Crk, BTNF",Management,Transported,WYGFD,2021
1043,Female,Subadult,10/10/2021,"Greybull River, Pr-WY",Management,Removed (202163),WYGFD,2021
908,Male,Adult,07/24/2021,"Cream Crk, CGNF",Research,On site,IGBST,2021
202123,Male,Subadult,07/25/2021,"Badger Crk, Pr-WY",Management,Removed (202123),WYGFD,2021
706,Female,Adult,07/26/2021,"Henrys Fork, CTNF",Research,On site,IDFG,2021
202124,Male,Subadult,07/28/2021,"Greybull River, Pr-WY",Management,Removed (202124),WYGFD,2021
202125,Female,Subadult,07/28/2021,"Greybull River, Pr-WY",Management,Removed (202125),WYGFD,2021
1044,Female,Adult,07/28/2021,"Crow Crk, CTNF",Research,On site,WYGFD,2021
1045,Male,Subadult,07/29/2021,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
1045,Male,Subadult,08/09/2021,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
1045,Male,Subadult,08/17/2021,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
202126,Male,Adult,07/30/2021,"squaw Crk, Pr-WY",Management,Removed (202126),WYGFD,2021
713,Male,Adult,07/30/2021,"Bear Crk, CTNF",Research,On site,IDFG,2021
1046,Female,Subadult,07/31/2021,"Little Twin Crk, BTNF",Management,Transported,WYGFD,2021
946,Male,Adult,08/02/2021,"Gros Ventre River, Pr-WY",Management,Removed (202128),WYGFD,2021
566,Male,Adult,08/03/2021,"Icehouse Crk, ST-ID",Management,Transported,IDFG,2021
782,Male,Adult,08/05/2021,"Ingals Crk, CTNF",Research,On site,IDFG,2021
898,Female,Adult,08/06/2021,"Camp Crk, SNF",Management,Removed (202130),WYGFD,2021
913,Female,Adult,08/07/2021,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
913,Female,Adult,08/13/2021,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
1047,Male,Adult,08/07/2021,"Crow Crk, CTNF",Research,On site,WYGFD,2021
1048,Male,Subadult,08/07/2021,"Gros Ventre River, Pr-WY",Management,Transported,WYGFD,2021
1048,Male,Subadult,08/28/2021,"Snake River, Pr-WY",Management,Removed (202140),WYGFD,2021
1049,Female,Adult,08/08/2021,"Red Crk, WRIR",Research,On site,WYGFD,2021
202131,Male,Adult,08/08/2021,"Willow Crk, Pr-WY",Management,Removed (202131),WYGFD,2021
912,Female,Adult,08/11/2021,"Eldridge Crk, CGNF",Research,On site,IGBST,2021
202132,Female,Adult,08/11/2021,"Slab Crk, Pr-WY",Management,Removed (202132),WYGFD,2021
531,Female,Adult,08/14/2021,"Crow Crk, CTNF",Research,On site,WYGFD,2021
940,Male,Adult,08/14/2021,"East Dry Crk, CTNF",Research,On site,IDFG,2021
1050,Male,Adult,08/15/2021,"Meadow Crk, Pr-WY",Management,Transported,WYGFD,2021
890,Male,Adult,08/16/2021,"Wagon Crk, BTNF",Management,Removed,WYGFD,2021
1012,Female,Subadult,08/17/2021,"Bootjack Crk, CTNF",Research,On site,IDFG,2021
202134,Female,Subadult,08/18/2021,"Fox Crk, BDNF",Management,Removed (202134),WS,2021
1051,Male,Subadult,08/19/2021,"Ingals Crk, CTNF",Research,On site,IDFG,2021
202135,Male,Subadult,08/20/2021,"Warm Spring Crk, Pr-WY",Management,Removed (202135),WYGFD,2021
202136,Male,Subadult,08/20/2021,"Warm Spring Crk, Pr-WY",Management,Removed (202136),WYGFD,2021
G269,Male,Subadult,08/21/2021,"Upper Green, WY",Management,Removed (202137),WYGFD,2021
424,Male,Adult,08/23/2021,"Ingals Crk, CTNF",Research,On site,IDFG,2021
424,Male,Adult,08/24/2021,"Ingals Crk, CTNF",Research,On site,IDFG,2021
424,Male,Adult,08/25/2021,"Ingals Crk, CTNF",Research,On site,IDFG,2021
951,Male,Adult,08/24/2021,"South Fork Fish Crk, BTNF",Management,Removed (202138),WYGFD,2021
560,Female,Adult,08/25/2021,"Trout Crk, SNF",Management,Transported,WYGFD,2021
G273,Female,Cub,08/26/2021,"Bear Crk, Pr-MT",Management,On site,WS/MTFWP,2021
202141,Male,Adult,09/01/2021,"Meadow Crk, Pr-WY",Management,Removed (202141),WYGFD,2021
974,Female,Adult,09/04/2021,"Middle Fork owl Crk, BLM-WY",Management,Removed (202143),WYGFD,2021
864,Female,Adult,09/06/2021,"Bridge Crk, YNP",Research,On site,IGBST,2021
1052,Male,Adult,09/09/2021,"Cascade Crk, YNP",Research,On site,IGBST,2021
804,Male,Adult,09/09/2021,"Cascade Crk, YNP",Research,On site,IGBST,2021
1053,Male,Adult,09/11/2021,"Gypsum Crk, BTNF",Management,Transported,WYGFD,2021
202145,Male,Adult,09/15/2021,"Clarks Fork Yellowstone, Pr-WY",Management,Removed (202145),WYGFD,2021
G274,Male,Adult,09/15/2021,"Arnica Crk, YNP",Research,On site,IGBST,2021
953,Male,Adult,09/22/2021,"Flat Mountain Crk, YNP",Research,On site,IGBST,2021
202153,Female,Adult,09/27/2021,"East Fork Wind River, SNF",Management,Removed (202153),WYGFD,2021
1054,Female,Adult,10/02/2021,"Jasper Crk, YNP",Research,On site,IGBST,2021
1017,Female,Subadult,10/01/2021,"Snake River, Pr-WY",Management,Removed (202159),WYGFD,2021
957,Female,Adult,10/05/2021,"Carbon County, Pr-MT",Management,Removed (202161),WS/MTFWP,2021
202162,Female,Subadult,10/05/2021,"Carbon County, Pr-MT",Management,Removed (202162),WS/MTFWP,2021
1055,Male,Adult,10/10/2021,"Greybull River, Pr-WY",Management,Transported,WYGFD,2021
962,Female,Adult,10/16/2021,"Snake River, GTNP",Management,Removed (202166),GTNP,2021
202167,Male,Adult,10/18/2021,"Shoshone River, Pr-WY",Management,Removed (202167),WYGFD,2021
991,Male,Adult,10/22/2021,"squaw Crk, Pr-WY",Management,Removed,WYGFD,2021
202169,Female,Adult,10/26/2021,"Meeteetse Crk, Pr WY",Management,Removed (202169),WYGFD,2021
1056,Male,Subadult,10/26/2021,"Meeteetse Crk, Pr WY",Management,On site,WYGFD,2021
1057,Male,Subadult,11/06/2021,"Snake River, BTNF",Management,On site,IGBST,2021
1058,Male,Subadult,11/06/2021,"Snake River, BTNF",Management,On site,IGBST,2021
Unm202125,Female,Subadult,11/06/2021,"Snake River, BTNF",Management,On site,IGBST,2021
984,Male,Subadult,04/25/2020,"Cottonwood Crk, BOR-WY",Management,Removed (202001),WYGFD,2020
802,Male,Adult,04/29/2020,"Snake River, Pr-WY",Management,Removed (202002),WYGFD,2020
834,Male,Adult,05/05/2020,"North Fork Shoshone, Pr-WY",Management,Removed (202003),WYGFD,2020
987,Male,Adult,05/07/2020,"South Fork Shoshone, Pr-WY",Management,Transported,WYGFD,2020
987,Male,Adult,06/26/2020,"Green Crk, SNF",Research,On site,WYGFD,2020
Unm202001,Male,Subadult,05/09/2020,"Cottonwood Crk, BOR-WY",Management,Removed (202005),WYGFD,2020
988,Male,Subadult,05/17/2020,"South Fork Shoshone, Pr-WY",Management,Transported,WYGFD,2020
989,Female,Adult,05/16/2020,"Hotel Crk, BLM-ID",Management,Transported,IDFG,2020
G264,Female,Subadult,05/16/2020,"Hotel Crk, BLM-ID",Management,Transported,IDFG,2020
990,Male,Subadult,05/21/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
990,Male,Subadult,06/01/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
991,Male,Subadult,05/22/2020,"Clarks Fork River, Pr-WY",Management,Transported,WYGFD,2020
G265,Male,Subadult,05/27/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,05/30/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,06/03/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,06/10/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,06/14/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,06/18/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
G266,Male,Subadult,05/27/2020,"Horse Crk, SNF",Research,On site,WYGFD,2020
992,Female,Subadult,06/05/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
993,Male,Adult,06/05/2020,"Charlie Crk, SNF",Research,On site,WYGFD,2020
994,Male,Subadult,06/06/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
409,Female,Adult,06/06/2020,"East Fork Long Crk, SNF",Research,On site,WYGFD,2020
879,Male,Adult,06/07/2020,"Wolf Crk, Pr-MT",Management,Removed (202008),WS/MTFWP,2020
995,Male,Adult,06/08/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
996,Male,Adult,06/12/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
996,Male,Adult,07/03/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
747,Female,Adult,06/13/2020,"West Fork Long Crk, SNF",Research,On site,WYGFD,2020
Unm202002,Female,Adult,06/17/2020,"South Dry Crk, ST-MT",Management,Removed (202009),WS,2020
Unm202003,Male,Adult,06/17/2020,"South Fork owl Crk, Pr-WY",Management,Removed (202010),WYGFD,2020
Unm202004,Female,Subadult,06/18/2020,"Ghost Crk, SNF",Management,Removed (202011),WYGFD,2020
Unm202005,Male,Adult,06/19/2020,"Bear Crk, Pr-MT",Management,Removed (202012),WS/MTFWP,2020
997,Male,Subadult,06/20/2020,"Brent Crk, SNF",Research,On site,WYGFD,2020
978,Male,Subadult,06/20/2020,"Trout Crk,SNF",Research,On site,WYGFD,2020
998,Female,Adult,06/21/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
999,Female,Adult,06/23/2020,"Trout Crk,SNF",Research,On site,WYGFD,2020
1000,Male,Yearling,06/26/2020,"Trout Crk,SNF",Research,On site,WYGFD,2020
G267,Male,Yearling,06/26/2020,"Trout Crk,SNF",Research,On site,WYGFD,2020
1001,Female,Subadult,07/01/2020,"Crow Crk, CTNF",Management,Transported,WYGFD,2020
936,Male,Adult,07/03/2020,"Fence Crk, BTNF",Management,Removed (202014),WYGFD,2020
Unm202006,Male,Subadult,07/03/2020,"Grayling Arm, Hebgen Lake, CGNF",Management,Removed (202015),MTFWP,2020
588,Male,Adult,07/06/2020,"Sheridan Crk, CTNF",Research,On site,IDFG,2020
373,Male,Adult,07/07/2020,"Warm River, CTNF",Research,On site,IDFG,2020
Unm202007,Male,Subadult,07/12/2020,"West Rosebud Crk, PrMT",Management,Removed (202016),WS/MTFWP,2020
899,Female,Adult,07/14/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
899,Female,Adult,08/06/2020,"Bear Crk, CTNF",Research,On site,IDFG,2020
Unm202008,Unk,Yearling,07/15/2020,"Deadman Crk, Pr-MT",Research,On site,IGBST,2020
Unm202009,Unk,Yearling,07/15/2020,"Deadman Crk, Pr-MT",Research,On site,IGBST,2020
Unm202010,Unk,Yearling,07/15/2020,"Deadman Crk, Pr-MT",Research,On site,IGBST,2020
653,Male,Adult,07/17/2020,"Warm River, CTNF",Research,On site,IDFG,2020
653,Male,Adult,07/25/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
1002,Male,Adult,07/22/2020,"Wagon Crk, BTNF",Management,Transported,WYGFD,2020
Unm202011,Female,Subadult,07/23/2020,"Bear Crk, Pr-MT",Management,Removed (202017),WS/MTFWP,2020
G268,Male,Subadult,07/23/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
G268,Male,Subadult,07/26/2020,"Henrys Fork, CTNF",Research,On site,IDFG,2020
1003,Female,Adult,07/24/2020,"Eldridge Crk, CGNF",Research,On site,IGBST,2020
1003,Female,Adult,08/06/2020,"Deadhorse Crk, CGNF",Research,On site,IGBST,2020
1004,Male,Adult,07/26/2020,"Eldridge Crk, CGNF",Research,On site,IGBST,2020
1005,Female,Subadult,07/26/2020,"Cream Crk, CGNF",Research,On site,IGBST,2020
