Bear,Sex,Age, Date ,General locationa,Capture type,Release Site,Handler,Year
227,Male,Adult,7/13/17,"Warm River, CTNF",Research,On site,IDFG,2017
227,Male,Adult,7/14/17,"Warm River, CTNF",Research,On site,IDFG,2017
895,Female,Adult,6/18/17,"Tappen Crk, SNF",Research,On site,WGFD,2017
G229,Male,Subadult,6/19/17,"East Fork Long Crk, SNF",Research,On site,WGFD,2017
896,Female,Subadult,6/20/17,"Tappen Crk, SNF",Research,On site,WGFD,2017
G230,Male,Adult,6/23/17,"Horse crk, SNF",Research,On site,WGFD,2017
816,Male,Adult,6/30/17,"Trout crk, SNF",Research,On site,WGFD,2017
897,Male,Adult,6/30/17,"Standard Crk, BDNF",Research,On site,IGBST,2017
898,Female,Adult,6/30/17,"Trout crk, SNF",Research,On site,WGFD,2017
786,Female,Adult,7/1/17,"Papoose Crk, PR-MT",Research,On site,IGBST,2017
Unm2,Unk,Yearling,7/2/17,"Enos Crk, SNF",Research,On site,WGFD,2017
Unm12,Unk,Yearling,7/2/17,"Enos Crk, SNF",Research,On site,WGFD,2017
899,Female,Subadult,7/8/17,"Warm River, CTNF",Research,On site,IDFG,2017
899,Female,Subadult,8/4/17,"Warm River, CTNF",Research,On site,IDFG,2017
824,Male,Adult,7/9/17,"West Goosewing Crk, BTNF",Management,Removed (201710),WGFD,2017
900,Female,Subadult,7/10/17,"Beauty Crk, BTNF",Research,On site,WGFD,2017
736,Male,Adult,7/11/17,"West Fork Madison, BDNF",Management,On site,WS,2017
736,Male,Adult,8/21/17,"West Fork Madison, BDNF",Management,Removed (201720),WS,2017
653,Male,Adult,7/12/17,"Henrys Fork, CTNF",Research,On site,IDFG,2017
653,Male,Adult,8/12/17,"Bootjack Crk, CTNF",Research,On site,IDFG,2017
G231,Female,Subadult,7/12/17,"Beauty Crk, BTNF",Research,On site,WGFD,2017
902,Male,Adult,7/14/17,"Papoose Crk, PR-MT",Research,On site,IGBST,2017
485,Female,Adult,7/15/17,"Gneiss Crk, YNP",Research,On site,IGBST,2017
903,Female,Adult,7/17/17,"Jesse Crk, CTNF",Research,On site,IDFG,2017
904,Male,Adult,7/19/17,"Green River, BTNF",Management,Transport,WGFD,2017
904,Male,Adult,9/12/17,"Mosquito Lake, BTNF",Management,Removed (201726),WGFD,2017
905,Female,Adult,7/20/17,"Beauty Crk, BTNF",Research,On site,WGFD,2017
825,Male,Adult,7/21/17,"Green River, BTNF",Management,Removed (201712),WGFD,2017
880,Male,Subadult,7/21/17,"Green River, BTNF",Management,Transport,WGFD,2017
763,Male,Adult,7/27/17,"Enget Crk, CTNF",Research,On site,IDFG,2017
906,Female,Adult,7/29/17,"East Fork Cream Crk, CGNF",Research,On site,IGBST,2017
907,Female,Subadult,7/31/17,"Meadow Crk, CGNF",Research,On site,IGBST,2017
908,Male,Subadult,7/31/17,"East Fork Cream Crk, CGNF",Research,On site,IGBST,2017
909,Female,Subadult,8/2/17,"East Fork Cream Crk, CGNF",Research,On site,IGBST,2017
G130,Male,Adult,8/2/17,"North Fork Owl Crk, PR-WY",Management,Removed (201713),WGFD,2017
910,Male,Subadult,8/4/17,"Eldridge Crk, CGNF",Research,On site,IGBST,2017
866,Male,Subadult,8/5/17,"Gypsum Crk, BTNF",Management,Removed (201716),WGFD,2017
Unm3,Unk,Yearling,8/7/17,"Henrys Fork, CTNF",Research,On site,IDFG,2017
911,Female,Subadult,8/10/17,"Buck Crk, CGNF",Research,On site,IGBST,2017
912,Female,Subadult,8/10/17,"Eldridge crk, CGNF",Research,On site,IGBST,2017
711,Male,Adult,8/10/17,"Warm River, CTNF",Research,On site,IDFG,2017
Unm4,Male,Yearling,8/10/17,"Camp Crk, SNF",Management,Removed (201718),WGFD,2017
Unm5,Male,Yearling,8/9/17,"Camp Crk, SNF",Management,Removed (201719),WGFD,2017
810,Male,Adult,8/11/17,"Greybull River, PR-WY",Management,Transport,WGFD,2017
G232,Male,Subadult,8/12/17,"Eldridge Crk, CGNF",Research,On site,IGBST,2017
Unm6,Unk,Yearling,8/12/17,"Meadow Crk, CGNF",Research,On site,IGBST,2017
Unm7,Unk,Yearling,8/12/17,"Meadow Crk, CGNF",Research,On site,IGBST,2017
720,Female,Adult,8/18/17,"Wigwam Crk, CGNF",Management,On site,WS,2017
913,Female,Subadult,8/23/17,"Wyoming Crk, CTNF",Research,On site,IDFG,2017
914,Female,Adult,8/25/17,"Bootjack Crk, CTNF",Research,On site,IDFG,2017
Unm8,Unk,Yearling,8/13/17,"Warm River, CTNF",Research,On site,IDFG,2017
Unm9,Unk,Yearling,8/16/17,"Henrys Fork, CTNF",Research,On site,IDFG,2017
G205,Male,Subadult,9/8/17,"Heart Lake, YNP",Management,Removed (201722),IGBST/YNP,2017
G213,Female,Subadult,9/9/17,"Greybull River, PRWY",Management,Removed (201723),WGFD,2017
915,Female,Adult,9/14/17,"Wagon crk, BTNF",Management,Transport,WGFD,2017
Unm10,Male,Subadult,9/24/17,"Green River, BTNF",Management,Removed (201727),WGFD,2017
394,Male,Adult,9/26/17,"Jasper crk, YNP South Fork Shoshone,",Research,On site,IGBST,2017
916,Male,Adult,9/27/17,"PR-WY North Fork Shoshone,",Management,Transport,WGFD,2017
G233,Female,Yearling,9/30/17,SNF,Management,On site,WGFD,2017
917,Male,Adult,9/30/17,"Bull Crk, PR-WY",Management,Transport,WGFD,2017
516,Male,Adult,10/2/17,"Oxbow Crk, YNP",Research,On site,YNP,2017
516,Male,Adult,10/12/17,"Jasper Crk, YNP",Research,On site,IGBST,2017
918,Male,Subadult,10/3/17,"North Fork Shoshone, PR-WY",Management,Transport,WGFD,2017
704,Male,Adult,10/7/17,"Jasper Crk, YNP",Research,On site,IGBST,2017
919,Female,Subadult,10/17/17,"Pat O'Hara Crk, PRWY",Management,Transport,WGFD,2017
789,Male,Adult,10/20/17,"Snake River, GTNP",Research,On site,GTNP,2017
772,Male,Adult,10/25/17,"North Fork Shoshone, SNF",Management,On site,WGFD,2017
Unm11,Female,Subadult,10/25/17,"Aspen Crk, SNF",Management,Removed (201743),WGFD,2017
542,Male,Adult,11/2/17,"Carter Crk, PR-WY",Management,Removed (201751),WGFD,2017
920,Male,Subadult,10/3/17,"North Fork Shoshone, PR-WY",Management,Transport,WGFD,2017
